0,1,53
1,10,60
1,82,1
1,83,10
2,15,18
2,100,74
3,8,10
4,0,100
4,1,10
5,81,0
5,1,92
6,1,34
7,10,1
7,94,69
7,14,0
8,62,56
8,1,21
8,1,88
8,21,0
9,1,10
9,0,52
10,54,6
11,0,1
11,1,33
11,1,16
12,52,12
12,45,99
12,10,23
13,1,20
13,32,47
14,10,82
14,100,94
15,59,5
16,10,100
16,26,0
16,10,71
17,100,31
18,1,44
18,1,10
18,69,1
18,10,1
19,1,35
19,14,100
20,0,6
20,55,69
20,63,1
21,10,100
22,7,30
22,32,98
23,5,100
23,78,0
24,1,34
25,1,3
25,18,1
26,1,96
26,44,48
27,10,38
27,23,0
27,95,47
27,1,57
28,10,3
28,1,10
29,0,1
29,10,46
30,0,10
30,65,2
31,0,29
31,10,1
32,67,81
32,66,10
33,53,44
33,1,49
33,10,1
34,10,13
34,68,0
35,1,31
36,19,1
36,1,13
37,1,10
37,74,80
37,43,27
37,100,93
39,62,0
40,1,0
41,10,89
42,68,60
43,87,65
44,24,1
44,30,0
44,1,56
44,32,86
45,10,1
45,10,95
46,75,12
46,1,54
47,1,31
47,51,67
47,68,50
48,1,21
49,1,17
49,0,1
50,1,17
50,1,95
51,10,1
52,28,19
52,29,0
53,69,1
53,80,72
54,10,1
54,36,72
55,1,4
55,10,1
56,10,45
56,69,1
57,91,40
57,73,1
58,22,35
59,10,55
60,89,1
60,1,65
60,39,71
61,75,0
61,6,10
61,1,82
62,0,10
62,100,0
62,10,4
63,90,100
63,57,1
63,89,1
63,67,0
64,1,99
65,1,9
66,31,1
66,1,46
67,37,81
67,60,1
67,10,93
68,1,65
69,7,10
70,0,1
70,44,23
71,1,85
71,10,59
72,97,0
72,24,10
73,79,61
73,1,0
73,13,38
74,86,14
74,10,68
75,97,1
75,1,73
76,77,0
76,13,88
78,10,9
78,92,79
78,10,30
79,13,1
80,1,47
80,0,1
81,10,0
83,65,47
83,79,32
84,58,9
85,54,0
85,12,1
86,100,49
87,53,1
87,1,79
88,57,1
88,1,68
89,60,100
89,0,47
89,68,72
90,100,10
90,34,97
91,58,1
91,1,8
92,1,10
92,92,6
93,59,100
94,1,61
94,85,1
94,56,82
95,0,89
95,10,24
96,1,37
96,1,67
97,10,1
97,1,10
98,51,100
98,20,19
99,79,0
100,90,51
100,87,100
101,86,1
101,10,100
102,10,99
102,1,21
102,42,10
103,48,1
103,1,28
103,3,42
104,82,10
104,47,10
104,1,26
105,37,1
105,23,95
106,63,1
106,1,22
107,25,97
107,1,96
108,1,94
108,53,78
109,10,86
109,10,50
109,1,65
110,4,75
110,100,28
111,58,0
112,1,57
112,42,10
112,72,32
113,91,46
113,73,1
113,84,49
114,83,44
116,63,93
116,10,19
116,1,0
117,42,0
117,55,10
118,10,1
118,78,0
119,95,13
119,83,54
119,1,97
120,1,66
120,10,100
121,10,100
121,0,43
122,1,63
122,74,47
123,1,32
124,70,38
124,1,10
124,10,0
125,59,100
125,1,94
126,0,33
126,0,84
126,10,54
127,48,0
127,83,36
127,1,96
128,2,84
128,1,80
128,32,10
129,52,10
129,99,1
129,1,24
129,1,55
130,52,60
130,1,15
130,36,1
131,10,57
131,55,47
132,1,10
133,1,66
133,95,68
134,0,64
134,68,1
135,84,1
135,96,79
136,88,46
136,20,51
137,85,10
137,10,22
137,10,41
138,0,30
138,87,24
138,1,73
138,6,96
139,10,1
139,86,70
139,1,100
140,68,11
140,30,83
140,10,67
140,24,100
141,10,83
141,1,38
141,1,10
142,63,0
143,86,88
143,12,1
143,41,10
144,0,37
144,76,10
144,1,37
145,1,0
145,0,38
145,69,100
147,1,29
148,1,73
149,1,81
150,0,1
151,1,100
151,37,81
151,1,9
152,63,45
152,100,10
153,0,100
153,1,10
154,43,52
154,86,4
154,77,75
155,1,16
155,100,35
155,98,63
156,70,1
157,88,0
157,1,79
159,10,1
160,64,10
160,63,1
161,0,1
161,64,0
161,10,92
162,42,62
162,0,45
163,66,89
163,0,36
164,1,0
165,10,7
165,1,82
166,10,0
166,1,6
167,0,1
167,1,55
167,36,1
167,1,99
168,10,100
168,2,1
169,100,67
169,11,5
170,1,10
170,1,56
170,1,6
171,100,4
171,94,0
172,100,0
173,1,6
173,87,41
173,97,0
174,0,1
174,26,0
174,0,92
175,1,91
177,1,70
177,1,9
178,86,38
179,1,80
179,8,1
180,45,10
181,76,0
181,10,63
181,1,10
183,1,10
183,1,91
184,59,56
184,0,58
184,2,1
185,1,0
185,40,10
186,10,0
186,37,85
187,98,5
188,37,64
188,1,29
189,10,94
189,87,1
189,1,99
190,58,0
191,36,93
191,10,88
191,8,10
192,21,87
193,78,21
193,76,49
193,10,1
194,1,40
194,17,78
195,1,84
195,0,1
196,1,0
196,0,7
197,10,66
198,31,80
199,50,87
199,47,23
200,47,78
200,1,3
200,17,3
201,83,1
202,0,64
202,88,38
202,27,91
203,35,1
203,1,89
